ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
4.01985,108,403,36,45,0.001144,1.3e-05,0.00109
3.31034,120,203,16,42,0.000442,1.1e-05,0.000478
8.16529,132,242,52,38,0.0013,2.2e-05,0.000686
5.68224,144,214,32,38,0.000824,1.4e-05,0.000607
4.01124,156,178,17,42,0.000517,1.1e-05,0.000474
4.81884,168,552,38,70,0.002242,1.4e-05,0.002044
5.07883,65,647,53,62,0.002132,2.4e-05,0.002051
3.93377,78,453,22,81,0.001127,1.2e-05,0.001105
4.14,91,200,46,18,0.000499,9e-06,0.000393
4.04928,104,1867,108,70,0.006823,7.4e-05,0.007093
5.28148,117,270,31,46,0.00099,9e-06,0.000728
7.01866,130,268,33,57,0.001299,1.8e-05,0.000767
10.8818,143,347,59,64,0.002662,3e-05,0.001359
7.11111,156,324,48,48,0.00173,1.2e-05,0.000974
6.27083,169,336,49,43,0.001615,1.9e-05,0.000895
4.17383,182,1070,77,58,0.004343,3.4e-05,0.003747
5.49119,70,511,46,61,0.001741,1.7e-05,0.001548
8.03791,84,211,53,32,0.000978,1.3e-05,0.000613
5.53171,98,205,27,42,0.000653,1.1e-05,0.000483
4.79537,112,259,46,27,0.000812,9e-06,0.000634
11.4505,126,222,41,62,0.001653,2.2e-05,0.000826
8.05378,140,1097,93,95,0.007527,5.4e-05,0.004937
6.81327,154,814,94,59,0.004541,4.1e-05,0.002687
4.39655,168,290,17,75,0.000982,1.2e-05,0.000895
6.73913,182,138,31,30,0.000683,9e-06,0.000377
7.84024,196,338,50,53,0.002184,2.3e-05,0.001364
6.59233,75,861,66,86,0.003741,4.1e-05,0.002901
5.21036,90,618,35,92,0.002198,2e-05,0.001965
5.62723,105,1175,87,76,0.005254,5.2e-05,0.005116
7.21088,120,294,40,53,0.001384,1.9e-05,0.000659
8.1048,135,229,32,58,0.001239,1.2e-05,0.000583
4.49275,150,414,31,60,0.001401,1.7e-05,0.001147
6.13274,165,452,66,42,0.00219,2.4e-05,0.001512
4.34414,180,1049,49,93,0.004415,2.4e-05,0.003451
4.90925,195,1168,94,61,0.006016,3.3e-05,0.003887
11.3458,210,454,101,51,0.004486,2.6e-05,0.001719
5.2795,80,322,34,50,0.001011,1.6e-05,0.00088
5.32676,96,710,61,62,0.002662,2.9e-05,0.002072
4.91667,112,996,83,59,0.00374,2.3e-05,0.002772
3.46023,128,1823,76,83,0.005961,4.9e-05,0.006406
8.45717,144,1109,83,113,0.007864,6.8e-05,0.005991
6.60638,160,470,45,69,0.002373,3.1e-05,0.001645
5.8303,176,330,52,37,0.001519,2e-05,0.000805
7.71731,192,566,91,48,0.003704,4.9e-05,0.001889
13.6217,208,986,111,121,0.012998,5.2e-05,0.005481
9.43426,224,251,74,32,0.002081,2.1e-05,0.000743
10.1342,85,641,112,58,0.004263,3.6e-05,0.002019
7.4933,102,746,65,86,0.00388,3.6e-05,0.002346
4.39375,119,640,76,37,0.002059,2.2e-05,0.001594
4.22414,136,696,84,35,0.002312,2.4e-05,0.001665
5.93628,153,565,39,86,0.00285,2.3e-05,0.002455
6.38704,170,1868,123,97,0.012218,7.1e-05,0.008382
5.57789,187,597,45,74,0.002871,2e-05,0.002084
6.18033,204,610,58,65,0.00358,2.5e-05,0.001907
7.14286,221,147,42,25,0.000881,9e-06,0.00038
4.90573,238,2270,96,116,0.014432,8.2e-05,0.010283
10.8266,90,467,64,79,0.003276,2.3e-05,0.001799
8.45455,108,330,45,62,0.001814,3.2e-05,0.001054
5.86139,126,3030,185,96,0.019531,0.000128,0.015183
7.92976,144,1082,143,60,0.007318,3.7e-05,0.004368
4.35458,162,612,41,65,0.0022,2.8e-05,0.001885
8.16245,180,1108,133,68,0.008366,5.8e-05,0.005089
7.38931,198,655,55,88,0.004452,3e-05,0.002325
7.32797,216,622,53,86,0.004248,3.3e-05,0.00203
6.90777,234,965,66,101,0.00703,4.4e-05,0.003767
3.47338,252,1052,87,42,0.004185,3.6e-05,0.003223
10.6771,95,576,75,82,0.00402,3.2e-05,0.001992
7.46844,114,713,75,71,0.003919,2.5e-05,0.002015
6.96065,133,864,62,97,0.004716,5.5e-05,0.002263
8.21229,152,716,140,42,0.004657,3.7e-05,0.002246
9.04779,171,816,69,107,0.006519,4.7e-05,0.003328
8.95556,190,2723,178,137,0.028535,0.000122,0.017139
7.33143,209,2447,156,115,0.021372,9.6e-05,0.01573
12.2873,228,536,74,89,0.006201,5.3e-05,0.002931
7.94587,247,2143,132,129,0.020343,0.000153,0.012996
9.37822,266,505,64,74,0.004835,2.8e-05,0.001866
11.4643,100,1232,132,107,0.010911,7.4e-05,0.006023
5.66823,120,2134,144,84,0.011774,7.7e-05,0.008685
11.6991,140,1080,133,95,0.010456,6.8e-05,0.005207
11.6074,160,703,85,96,0.006644,5.6e-05,0.003459
5.90634,180,2477,110,133,0.01599,0.00014,0.012627
9.13598,200,1412,172,75,0.012657,7.9e-05,0.00665
6.40046,220,2607,206,81,0.021383,5.8e-05,0.010943
6.43077,240,2340,132,114,0.019048,0.000103,0.012957
5.2483,260,2054,55,196,0.014193,7.2e-05,0.009654
9.39406,280,2459,154,150,0.03347,0.000128,0.016294
10.4865,105,1110,97,120,0.009146,6e-05,0.00524
9.0463,126,1447,77,170,0.010966,6.2e-05,0.005487
12.1476,147,1165,122,116,0.012214,6.7e-05,0.006346
